forecast	worked	wind	grilled
ocast	worked	high	yes
sunny	worked	norm	yes
sunny	dayoff	high	no
ocast	dayoff	norm	no
ocast	worked	norm	no
sunny	worked	norm	yes
sunny	worked	high	yes
sunny	worked	norm	yes
ocast	worked	norm	no
sunny	dayoff	norm	yes
ocast	dayoff	high	no
sunny	worked	high	no
sunny	worked	high	no
sunny	worked	norm	yes
ocast	worked	high	yes
rainy	worked	norm	no
sunny	dayoff	norm	yes
sunny	dayoff	norm	yes
ocast	dayoff	high	no
sunny	worked	norm	yes
sunny	worked	norm	yes
ocast	worked	norm	yes
ocast	worked	high	no
ocast	dayoff	high	yes
rainy	dayoff	norm	no
sunny	worked	high	no
rainy	worked	high	no
rainy	worked	norm	no
sunny	worked	high	yes
sunny	worked	high	yes
